"race_dichotomized","exposure","outcome_PC1","term","estimate","std.error","statistic","conf.low","conf.high","p.value"
0,"social_health2_d","CX3CL1","social_health2_dPoor",-0.792073428595899,0.289066147479929,-2.74011133957115,-1.36905187383174,-0.215094983360053,0.00786446730318794
1,"social_health2_d","CX3CL1","social_health2_dPoor",0.719584728591895,0.558692163780068,1.28798070787899,-0.428823461197121,1.86799291838091,0.20909837409986
0,"social_health2_d","IFN_lambda1","social_health2_dPoor",-0.645731378493948,0.273118413934142,-2.3642908919706,-1.19087801434463,-0.100584742643261,0.0209704312532014
1,"social_health2_d","IFN_lambda1","social_health2_dPoor",-0.82406651159877,0.388769273489944,-2.11968014910542,-1.62319319809715,-0.0249398251003884,0.0437394777421309
0,"social_health2_d","IFN_lambda2_3","social_health2_dPoor",-0.461326839247626,0.274466795576731,-1.68081110969453,-1.00916485612133,0.0865111776260827,0.0974562992019026
1,"social_health2_d","IFN_lambda2_3","social_health2_dPoor",-0.959197989716873,0.40734862267699,-2.35473482986949,-1.79651507542005,-0.121880904013691,0.0263646435125303
0,"social_health2_d","sTREM_1","social_health2_dPoor",-0.781691182658954,0.318984860391185,-2.45055888138494,-1.41838762880735,-0.144994736510555,0.0168807079997436
1,"social_health2_d","sTREM_1","social_health2_dPoor",0.419916530098692,0.391017486318849,1.07390729261729,-0.383831424053838,1.22366448425122,0.292730326928585
0,"social_health2_d","sRAGE","social_health2_dPoor",-0.606675255085282,0.322005786146966,-1.88405078785879,-1.24940149427911,0.0360509841085458,0.0638978663961505
1,"social_health2_d","sRAGE","social_health2_dPoor",0.446657735451033,0.500898546393254,0.891712979938183,-0.582953972433724,1.47626944333579,0.380725336542932
0,"social_health2_d","GM_CSF","social_health2_dPoor",-0.166012215082801,0.234568552915328,-0.707734319112783,-0.634213006293421,0.302188576127819,0.481565012642521
1,"social_health2_d","GM_CSF","social_health2_dPoor",-0.324169587399931,0.296622558508502,-1.09286896124807,-0.933885988579725,0.285546813779863,0.284474346683266
