"","exposure","outcome","term","estimate","std.error","statistic","p.value","ci_lower","ci_upper"
"909","social_relationships_nominal","IL_8","social_relationships_nominalFair",-0.0313380419636363,0.460527080686681,-0.0680482066698638,0.945879184181108,-0.933971120109531,0.871295036182259
"910","isolation_cat_nominal","IFN_beta","isolation_cat_nominalVery Isolated",0.0182598244457142,0.269007530982177,0.0678784879332021,0.946013957223745,-0.508994936279353,0.545514585170781
"911","isolation_cat_ordinal","IFN_beta","isolation_cat_ordinal.L",-0.0136414454843504,0.202432716528842,-0.0673875533474195,0.946403815436854,-0.410409569880881,0.38312667891218
"912","isolation_item_visit","IP_10","isolation_item_visit0",-0.0358989231999983,0.54866468558588,-0.0654296223961716,0.947962565035179,-1.11128170694832,1.03948386054833
"913","social_activities_ordinal","TGF_beta1","social_activities_ordinal.Q",0.0212813148358139,0.33755179931587,0.0630460713850307,0.949852004722836,-0.64032021182329,0.682882841494918
"914","isolation_cat_ordinal","IP_10","isolation_cat_ordinal.Q",-0.0117539556364087,0.197381803882583,-0.0595493374019461,0.952629955330164,-0.398622291246272,0.375114379973455
"915","social_relationships_nominal","TGF_beta1","social_relationships_nominalFair",0.0271166019000002,0.488709401123905,0.0554861474684937,0.955858653438824,-0.930753824302854,0.984987028102854
"916","social_relationships_d","VEGF","social_relationships_dHigh",-0.0206389468381444,0.388245343466597,-0.0531595476557727,0.957705795182197,-0.781599820032674,0.740321926356385
"917","isolation_cat_nominal","IFN_beta","isolation_cat_nominalMost Isolated",-0.0152942160900001,0.290955858969468,-0.0525654171191823,0.958179985783375,-0.585567699670157,0.554979267490157
"918","isolation_item_visit_d","BDNF","isolation_item_visit_dHigh",-0.0103350736652236,0.197904806988978,-0.0522224488756312,0.958450669139866,-0.398228495363621,0.377558348033174
"919","isolation_item_visit","sTREM_1","isolation_item_visit1",-0.0287807536333362,0.562124315903137,-0.0511999798249176,0.959268301062364,-1.13054441280348,1.07298290553681
"920","isolation_item_visit_d","MCP_1","isolation_item_visit_dHigh",0.0102924291277055,0.203027058520698,0.0506948640378208,0.95966498275895,-0.387640605572863,0.408225463828274
"921","isolation_item_visit","IL_8","isolation_item_visit0",-0.0343431115499987,0.690983927911792,-0.0497017516077201,0.960459197653316,-1.38867161025711,1.31998538715711
"922","social_relationships_ordinal","IL_1beta","social_relationships_ordinal.Q",0.0112564337864152,0.23010598532932,0.048918474546872,0.961078998548035,-0.439751297459052,0.462264165031883
"923","social_activities_ordinal","IFN_beta","social_activities_ordinal.L",0.0136692503742096,0.280800362948953,0.0486796036538404,0.961268899473061,-0.536699461005739,0.564037961754158
"924","isolation_item_visit","CX3CL1","isolation_item_visit2",-0.027218771324142,0.561642397722947,-0.0484628144785621,0.961444059324296,-1.12803787086112,1.07360032821283
"925","race_f","CX3CL1","race_fAsian",-0.0533355219594594,1.15764042754817,-0.0460726152009233,0.963342455741242,-2.32231075995388,2.21563971603496
"926","social_activities_nominal","VILIP_1","social_activities_nominalFair",-0.0212771810897404,0.475521191182913,-0.044744969276366,0.964397222896621,-0.95329871580825,0.910744353628769
"927","isolation_item_visit","CX3CL1","isolation_item_visit5",-0.0300134944571455,0.679142686385734,-0.0441932086714672,0.964838522300109,-1.36113315977318,1.30110617085889
"928","social_activities_ordinal","GM_CSF","social_activities_ordinal.C",0.00750387354311728,0.172838101737822,0.0434156211371722,0.965454280464267,-0.331258805863013,0.346266552949248
"929","social_activities_ordinal","TNF","social_activities_ordinal.C",-0.00902495596404383,0.21176865112093,-0.0426170536397768,0.966089307003292,-0.424091512161066,0.406041600232978
"930","social_activities_d","VILIP_1","social_activities_dHigh",-0.0180026405313532,0.439743383160181,-0.040938968545652,0.967422295080399,-0.879899671525307,0.843894390462601
"931","isolation_cat_nominal","VILIP_1","isolation_cat_nominalSomewhat Isolated",0.0106332408666664,0.262588985484886,0.0404938571472504,0.96777779295512,-0.504041170683709,0.525307652417042
"932","isolation_cat_ordinal","IL_8","isolation_cat_ordinal.L",-0.0105601175473976,0.269955615703338,-0.0391179769307054,0.968872049484577,-0.53967312432594,0.518552889231145
"933","isolation_cat_ordinal","IFN_beta","isolation_cat_ordinal.C",0.00672542961324032,0.173752107948584,0.0387070389685889,0.96919888574631,-0.333828701965985,0.347279561192465
"934","social_activities_ordinal","IL_18","social_activities_ordinal.L",-0.012421988225524,0.332680780118357,-0.0373390618511373,0.97028693305004,-0.664476317257504,0.639632340806456
"935","isolation_item_communicate","IFN_gamma","isolation_item_communicate2",-0.0152528108124999,0.439600319630596,-0.0346969966384854,0.972391217951565,-0.876869437288468,0.846363815663468
"936","social_relationships_ordinal","IL_6","social_relationships_ordinal.Q",-0.00829063399175624,0.245266199132988,-0.0338025949807331,0.973099986034601,-0.489012384292414,0.472431116308901
"937","isolation_item_communicate","BDNF","isolation_item_communicate0",0.0342889775416669,1.04106384566468,0.0329364790492504,0.973791555900973,-2.00619615996112,2.07477411504445
